artist_id,artist_name,birth_year,death_year,nationality,gender,primary_medium,artist_website_url,bio_source_url,bio_confidence_score,gallery_name,gallery_city,gallery_country,gallery_tier,gallery_prestige_score,gallery_start_date,gallery_source_url,gallery_confidence_score,museum_name,museum_city,museum_country,museum_tier,museum_event_type,event_name,event_start_date,event_end_date,event_source_url,event_confidence_score,acquisition_date,acquisition_value_usd,acquisition_source_url,acquisition_confidence_score,art_fair_name,art_fair_date,art_fair_city,art_fair_country,art_fair_source_url,art_fair_confidence_score,auction_house,sale_name,lot_number,sale_date,work_title,work_medium,creation_year,estimate_low_usd,estimate_high_usd,price_usd,currency,auction_source_url,auction_confidence_score,press_outlet,article_title,article_author,publication_date,article_url,mention_count,sentiment_score,press_confidence_score,collector_name,collector_type,collector_source_url,collector_confidence_score,curator_name,curator_source_url,curator_confidence_score,notes
artist_nikita_kadan,Nikita Kadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ArtReview,How to be a Wartime Artist,Oliver Basciano,28/07/2025,https://artreview.com/mikita-kadanhow-to-be-a-wartime-artist-interview-oliver-basciano/,5,0.6,1,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,1981,,Ukraine,,,,https://www.kadyrova.com/cv,1,Galleria Continua,,,,,,https://www.galleriacontinua.com/about,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,Galleria Continua,San Gimignano,Italy,,,,,1.00,,,,,gallery_exhibition,Instrument,2026-01-24,2026-04-19,https://www.galleriacontinua.com/artists/zhanna-kadyrova-38/exhibitions,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,Galleria Continua,Paris,France,,,,,1.00,,,,,gallery_exhibition,Fragments De Ville,2026-01-22,2026-03-21,https://www.galleriacontinua.com/exhibitions/fragments-de-ville-522,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,Galleria Continua,Le Moulins,France,,,,,1.00,,,,,gallery_exhibition,Objects trouvéts,2025-09-06,2026-12-20,https://www.galleriacontinua.com/exhibitions/objets-trouves-504,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,Galleria Continua,Paris,France,,,,,1.00,,,,,gallery_exhibition,Strategic Locations,2025-03-28,2025-05-28,https://www.galleriacontinua.com/exhibitions/strategic-locations-490,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotheby's,"My Body, My Business",8,2023-03-14,Palianytsia,Cutting natural stone,2022,5000,7000,6350,USD,https://www.sothebys.com/en/buy/auction/2023/my-body-my-business/palianytsia,1.00,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,,,,,,,,,La Biennale di Venezia,Venice,Italy,,biennial_inclusion,Security Gurarantees,2026-05-09,2026-11-22,https://www.labiennale.org/en/art/2026/ukraine,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Art Newspaper,Dangling sculpture—‘evacuated’ from Russian-Ukrainian frontline—will be focus of Ukraine's pavilion at Venice Biennale,Ron Sharp,2026-02-09,https://www.theartnewspaper.com/2026/02/09/dangling-sculptureevacuated-from-russian-frontlinewill-be-focus-of-ukraines-pavilion-at-venice-biennale,4,0.7,1.00,,,,,,,,
artist_zhanna_kadyrova,Zhanna Kadyrova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hyperallergic,The Ukrainian Pavilion’s Deer Seen Around the World,Gregory Volk,2026-05-13,https://hyperallergic.com/the-ukrainian-pavilions-deer-seen-around-the-world/,4,0.6,1.00,,,,,,,,
